m/z,Rel. Intens.
656.152,0.151
672.398,0.024
673.319,0.09
687.337,0.031
695.268,0.044
704.299,0.06
709.316,0.047
714.369,0.038
731.322,0.026
774.319,0.049
781.361,0.153
783.335,0.052
799.418,0.191
802.335,0.037
805.342,0.104
817.379,0.046
821.396,0.023
825.384,0.085
830.359,0.032
831.355,0.07
853.356,0.049
869.443,0.147
871.419,0.075
873.368,0.265
894.41,0.049
896.387,0.028
899.352,0.024
918.382,0.025
930.391,0.03
972.405,0.027
976.433,0.041
983.426,0.435
989.463,0.025
1005.411,0.024
1008.479,0.12
1012.497,0.584
1031.437,0.274
1033.461,0.108
1034.453,0.117
1047.417,0.03
1053.412,0.024
1074.432,0.041
1080.505,0.087
1090.476,0.036
1104.478,0.077
1112.547,0.021
1114.504,0.024
1132.497,0.022
1144.464,0.021
1152.528,0.085
1156.591,0.147
1157.552,0.212
1160.501,0.049
1167.559,0.1
1174.53,0.105
1178.585,0.197
1199.564,0.324
1215.561,0.292
1216.539,0.104
1221.558,0.291
1226.459,0.382
1230.596,0.057
1235.536,0.12
1237.541,0.075
1244.562,0.078
1248.438,0.026
1252.598,0.123
1257.562,0.045
1275.589,0.212
1283.485,0.099
1284.679,0.153
1286.507,0.04
1299.481,0.201
1301.566,1.0
1306.683,0.22
1311.616,0.053
1313.627,0.085
1319.564,0.038
1323.536,0.089
1341.557,0.037
1345.511,0.023
1352.578,0.225
1358.589,0.025
1363.595,0.028
1366.671,0.121
1380.613,0.043
1386.622,0.086
1402.609,0.041
1408.62,0.099
1422.575,0.033
1427.568,0.038
1439.707,0.083
1453.617,0.029
1488.609,0.018
1497.52,0.02
1504.597,0.021
1552.611,0.052
1579.741,0.025
1590.71,0.021
1612.684,0.024
1634.688,0.028
1641.782,0.252
1656.724,0.018
1694.691,0.03
1708.776,0.02
1716.776,0.812
1723.841,0.027
1738.75,0.069
1779.685,0.102
1801.661,0.041
1805.829,0.039
1827.815,0.024
1882.844,0.048
1883.829,0.049
1932.852,0.017
1954.832,0.022
2010.891,0.016
2015.991,0.105
2080.95,0.018
2146.973,0.016
2155.007,0.017
2184.997,0.043
2202.052,0.03
2261.677,0.013
2279.088,0.041
2295.087,0.067
2334.154,0.013
2336.139,0.013
2350.09,0.167
2356.192,0.019
2362.205,0.013
2372.067,0.348
2388.058,0.016
2394.046,0.013
2407.18,0.167
2451.215,0.048
2455.196,0.0090
2513.3,0.015
2535.285,0.073
2645.41,0.0060
2948.552,0.0050
2982.467,0.01
3004.422,0.0050
3349.637,0.0080
