m/z,Rel. Intens.
651.412,0.02
656.187,0.382
659.476,0.126
672.088,0.023
673.377,0.087
687.396,0.027
699.396,0.018
704.359,0.069
709.368,0.032
714.422,0.021
731.396,0.018
774.377,0.115
781.431,0.19
783.387,0.038
799.484,0.218
805.415,0.056
817.464,0.037
824.351,0.018
825.447,0.049
831.422,0.061
853.423,0.022
869.512,0.248
871.479,0.07
873.44,0.279
894.48,0.038
896.469,0.03
900.43,0.018
912.476,0.019
930.472,0.025
972.477,0.029
976.505,0.027
983.504,0.362
989.542,0.029
1008.549,0.094
1012.567,0.595
1031.51,0.27
1033.531,0.084
1034.533,0.101
1047.495,0.036
1053.49,0.016
1074.512,0.029
1080.584,0.252
1090.55,0.024
1104.554,0.085
1112.626,0.018
1114.576,0.019
1152.607,0.078
1156.656,0.239
1157.589,0.128
1158.598,0.091
1160.563,0.044
1167.63,0.073
1174.602,0.035
1178.66,0.102
1196.579,0.039
1199.64,0.394
1215.633,0.239
1216.635,0.105
1221.636,0.178
1226.53,0.531
1230.669,0.074
1235.594,0.122
1237.597,0.041
1244.702,0.084
1248.504,0.02
1252.654,0.079
1257.637,0.023
1259.619,0.017
1275.671,0.222
1283.556,0.099
1284.754,0.104
1286.565,0.04
1299.55,0.319
1301.634,1.0
1306.754,0.068
1308.584,0.019
1311.689,0.042
1313.702,0.067
1319.641,0.025
1323.605,0.07
1341.624,0.016
1352.648,0.156
1358.655,0.026
1363.657,0.023
1366.747,0.119
1372.675,0.02
1380.688,0.051
1386.689,0.114
1400.639,0.035
1402.686,0.021
1408.691,0.069
1422.639,0.028
1427.641,0.06
1439.783,0.089
1443.732,0.016
1453.691,0.039
1488.683,0.023
1504.668,0.016
1514.774,0.018
1552.691,0.047
1579.81,0.021
1590.769,0.021
1612.751,0.027
1634.779,0.024
1641.859,0.288
1650.838,0.015
1656.786,0.02
1660.746,0.021
1679.739,0.017
1694.78,0.021
1708.845,0.017
1716.846,0.967
1723.932,0.028
1738.812,0.054
1752.914,0.023
1773.86,0.018
1779.747,0.098
1801.728,0.022
1805.898,0.047
1815.837,0.025
1827.88,0.019
1857.898,0.016
1874.836,0.016
1882.915,0.066
1922.834,0.014
1932.918,0.032
1938.841,0.014
1954.902,0.029
2010.971,0.02
2016.053,0.227
2033.005,0.022
2037.059,0.023
2081.01,0.084
2155.058,0.018
2185.041,0.044
2202.109,0.062
2279.124,0.023
2295.129,0.051
2334.284,0.015
2350.117,0.252
2356.215,0.01
2372.091,0.332
2394.052,0.011
2407.187,0.116
2451.223,0.071
2455.167,0.0090
2513.316,0.018
2535.282,0.066
2601.282,0.0070
2618.283,0.0090
2645.388,0.0080
2982.415,0.01
3153.466,0.0040
3176.428,0.0040
3211.483,0.0030
3349.464,0.0070
