m/z,Rel. Intens.
605.28,0.109
607.384,0.015
635.401,0.017
640.421,0.018
667.39,0.024
709.397,0.038
733.4,0.019
749.375,0.013
774.397,0.014
783.424,0.019
812.47,0.012
825.462,0.017
871.504,0.036
904.469,0.118
920.468,0.014
976.52,0.043
983.541,0.014
989.557,0.057
1012.577,0.017
1015.609,0.012
1020.493,0.02
1031.533,0.021
1080.588,0.1
1104.571,0.057
1111.558,0.023
1152.603,0.016
1160.598,0.016
1174.014,0.011
1199.638,0.016
1215.66,0.181
1226.558,0.766
1230.664,0.019
1235.616,0.05
1244.914,0.476
1252.604,0.03
1263.669,0.057
1274.723,0.056
1283.59,0.023
1286.591,0.058
1299.581,0.794
1301.668,0.301
1303.648,0.139
1311.709,0.039
1313.716,0.016
1352.672,0.118
1366.785,1.0
1372.896,0.119
1380.711,0.063
1427.669,0.18
1439.808,0.043
1453.735,0.336
1467.809,0.02
1494.861,0.034
1497.814,0.019
1504.692,0.017
1508.763,0.015
1522.724,0.016
1550.736,0.039
1552.733,0.02
1592.173,0.029
1612.799,0.096
1641.877,0.108
1650.874,0.045
1657.762,0.023
1670.95,0.019
1687.648,0.029
1706.969,0.037
1709.137,0.134
1716.891,0.501
1723.98,0.658
1752.95,0.037
1815.883,0.237
1882.97,0.422
1913.151,0.025
1914.989,0.021
1927.98,0.062
1938.884,0.028
2016.107,0.278
2018.026,0.096
2028.035,0.028
2037.108,0.067
2076.053,0.033
2081.07,0.243
2084.086,0.099
2090.083,0.017
2147.105,0.176
2168.147,0.014
2190.175,0.033
2202.161,0.016
2219.129,0.021
2258.327,0.028
2296.225,0.013
2384.228,0.01
2451.323,0.478
2485.233,0.016
2513.39,0.022
2564.378,0.011
2607.412,0.027
2612.399,0.01
2618.406,0.015
2645.533,0.213
2888.613,0.0080
2926.523,0.0050
2959.827,0.012
2982.597,0.018
3032.746,0.046
3140.766,0.034
3154.691,0.011
3211.802,0.0090
3237.133,0.013
3259.976,0.022
3292.891,0.02
