m/z,Rel. Intens.
605.241,0.034
635.357,0.013
667.363,0.01
709.36,0.038
733.365,0.019
758.528,0.019
825.436,0.026
871.472,0.011
976.468,0.014
989.524,0.015
1015.571,0.016
1031.47,0.012
1080.54,0.066
1104.514,0.011
1199.594,0.0070
1215.597,0.088
1226.485,0.45
1235.552,0.019
1244.754,0.193
1252.545,0.013
1263.602,0.049
1274.669,0.407
1283.518,0.164
1286.574,0.017
1299.51,0.529
1301.592,0.161
1302.595,0.1
1311.635,0.015
1314.635,0.01
1318.581,0.025
1352.599,0.07
1366.708,0.713
1372.757,0.04
1380.648,0.04
1411.608,0.028
1427.588,0.132
1439.727,0.015
1449.71,0.016
1453.647,0.279
1467.731,0.029
1494.787,0.049
1497.69,0.011
1504.622,0.017
1508.678,0.014
1529.673,0.048
1552.64,0.017
1591.894,0.028
1612.712,0.053
1641.803,0.02
1650.793,0.018
1687.499,0.024
1694.722,0.053
1706.894,0.035
1709.042,0.138
1716.793,0.383
1723.888,1.0
1726.261,0.043
1752.86,0.016
1815.785,0.107
1833.804,0.011
1882.871,0.379
1886.811,0.028
1912.914,0.013
1927.884,0.032
1938.813,0.014
2016.004,0.458
2017.968,0.154
2028.945,0.015
2032.937,0.014
2037.013,0.035
2074.98,0.0080
2080.359,0.025
2080.967,0.418
2083.971,0.073
2146.986,0.22
2190.063,0.024
2219.02,0.0080
2228.115,0.08
2258.222,0.01
2265.015,0.023
2357.225,0.0060
2381.18,0.011
2384.208,0.0070
2386.194,0.0090
2427.286,0.0060
2436.287,0.0090
2443.204,0.011
2451.186,0.448
2513.297,0.0080
2551.214,0.0070
2607.308,0.024
2612.185,0.0090
2645.384,0.244
2661.289,0.0060
2670.361,0.0070
2693.115,0.0050
2888.42,0.0070
2959.644,0.0060
2982.459,0.011
3032.587,0.061
3140.609,0.012
3153.568,0.0090
3211.621,0.0090
3236.824,0.013
3259.803,0.038
3276.833,0.0040
3292.729,0.041
