m/z,Rel. Intens.
605.274,0.071
640.424,0.02
667.395,0.014
683.388,0.024
709.405,0.127
725.38,0.019
731.379,0.02
733.4,0.046
745.361,0.022
749.391,0.017
774.401,0.026
783.417,0.019
813.438,0.015
825.475,0.075
871.503,0.024
927.499,0.018
960.559,0.024
976.518,0.06
983.527,0.023
989.554,0.046
1012.572,0.02
1015.617,0.014
1020.505,0.033
1031.525,0.042
1047.507,0.016
1080.597,0.357
1104.571,0.084
1111.56,0.035
1132.621,0.022
1143.552,0.019
1152.602,0.015
1156.68,0.027
1160.596,0.747
1169.528,0.014
1199.65,0.034
1215.659,0.385
1226.561,0.62
1231.664,0.051
1235.626,0.043
1244.894,0.354
1252.615,0.049
1256.622,0.016
1263.666,0.09
1274.732,0.294
1282.544,0.038
1283.585,0.106
1286.618,0.051
1299.587,0.914
1301.67,0.491
1303.643,0.109
1311.722,0.062
1314.708,0.016
1318.643,0.019
1319.651,0.02
1352.669,0.252
1366.769,0.3
1372.832,0.08
1380.717,0.069
1386.728,0.046
1401.662,0.018
1427.675,0.186
1439.807,0.054
1449.894,0.03
1450.757,0.032
1453.099,0.024
1453.731,0.155
1467.848,0.16
1497.811,0.044
1504.7,0.081
1551.745,0.078
1552.708,0.054
1585.859,0.022
1590.835,0.039
1612.81,0.109
1623.802,0.056
1641.891,0.247
1645.835,0.029
1650.88,0.031
1657.78,0.037
1670.811,0.033
1687.638,0.025
1708.184,0.078
1709.166,0.064
1710.147,0.041
1716.884,0.568
1723.983,0.761
1742.835,0.09
1752.992,1.0
1771.893,0.024
1805.933,0.025
1815.885,0.145
1841.973,0.022
1875.989,0.023
1882.967,0.481
1899.016,0.127
1910.964,0.049
1913.033,0.049
1927.981,0.113
1932.055,0.034
1938.915,0.047
1963.963,0.025
2016.112,0.723
2028.047,0.062
2030.051,0.034
2033.053,0.027
2037.114,0.116
2041.932,0.023
2045.107,0.046
2066.107,0.034
2069.202,0.023
2081.088,0.833
2084.067,0.192
2090.103,0.041
2097.112,0.034
2147.104,0.209
2178.032,0.04
2190.18,0.081
2202.159,0.024
2219.149,0.018
2258.341,0.045
2296.231,0.031
2350.188,0.027
2381.296,0.021
2385.322,0.041
2427.359,0.018
2443.284,0.026
2446.355,0.053
2451.3,0.248
2485.217,0.032
2513.399,0.02
2551.28,0.03
2579.436,0.022
2585.266,0.018
2599.419,0.028
2607.269,0.014
2612.303,0.034
2618.376,0.038
2635.361,0.014
2645.501,0.113
2674.424,0.015
2693.263,0.013
2778.486,0.022
2888.521,0.018
2926.842,0.042
2959.801,0.022
2966.677,0.011
2982.611,0.087
3032.691,0.025
3139.806,0.019
3153.746,0.034
3181.984,0.0070
3212.705,0.015
3221.692,0.0080
3237.086,0.05
3260.004,0.015
3292.938,0.083
