m/z,Rel. Intens.
605.267,0.164
607.338,0.043
635.348,0.061
652.362,0.038
667.381,0.044
683.371,0.044
709.4,0.141
711.419,0.034
725.39,0.068
733.393,0.058
745.371,0.066
749.373,0.061
817.498,0.035
825.477,0.179
904.485,0.075
976.531,0.034
989.572,0.045
1020.514,0.068
1080.602,0.187
1104.579,0.027
1111.596,0.037
1156.703,0.038
1160.614,0.066
1168.593,0.138
1199.665,0.03
1215.678,0.103
1226.575,0.492
1230.692,0.038
1235.65,0.087
1244.913,0.762
1252.642,0.053
1274.757,0.591
1283.661,0.042
1286.587,0.053
1299.598,1.0
1301.698,0.228
1352.703,0.119
1366.799,0.629
1372.896,0.205
1380.74,0.133
1427.692,0.231
1453.76,0.242
1467.86,0.06
1490.784,0.091
1494.919,0.047
1529.78,0.205
1592.044,0.1
1612.833,0.069
1641.895,0.076
1650.907,0.073
1687.597,0.062
1706.993,0.092
1709.159,0.217
1716.92,0.553
1718.927,0.114
1724.009,0.909
1753.016,0.088
1815.922,0.171
1833.968,0.075
1883.102,0.213
1883.876,0.205
1913.059,0.043
1928.026,0.064
1938.939,0.061
1964.075,0.071
1995.079,0.057
2016.237,0.484
2018.008,0.233
2037.205,0.098
2081.143,0.38
2084.147,0.14
2147.341,0.12
2185.23,0.038
2228.281,0.068
2258.333,0.08
2385.364,0.041
2446.361,0.04
2451.411,0.234
2550.705,0.029
2606.662,0.029
2612.236,0.029
2645.591,0.091
2888.525,0.028
2926.766,0.06
2982.782,0.09
3033.072,0.026
3138.971,0.018
3154.338,0.04
3212.311,0.016
3234.636,0.018
3237.405,0.06
3260.623,0.025
3291.762,0.047
3293.461,0.076
