m/z,Rel. Intens.
600.442,0.027
605.262,0.097
635.365,0.032
640.412,0.067
667.385,0.04
683.373,0.027
685.399,0.019
709.395,0.124
711.424,0.019
725.394,0.022
733.402,0.05
745.371,0.038
747.377,0.019
749.381,0.024
774.409,0.019
825.493,0.028
904.476,0.018
976.528,0.024
989.573,0.055
1012.616,0.028
1016.642,0.017
1020.524,0.021
1026.373,0.016
1031.546,0.031
1080.611,0.122
1104.585,0.049
1111.562,0.024
1129.654,0.019
1160.612,0.366
1174.076,0.016
1215.664,0.057
1216.639,0.039
1226.576,1.0
1230.678,0.025
1235.647,0.057
1244.913,0.572
1252.624,0.02
1274.749,0.358
1283.604,0.059
1286.589,0.027
1299.605,0.763
1301.687,0.449
1352.679,0.038
1366.784,0.152
1372.857,0.106
1380.739,0.023
1386.718,0.019
1400.692,0.023
1427.689,0.109
1439.817,0.02
1449.827,0.16
1453.747,0.27
1467.81,0.028
1504.713,0.169
1550.749,0.117
1590.795,0.028
1592.075,0.036
1612.82,0.091
1641.907,0.784
1645.82,0.051
1650.882,0.07
1687.636,0.034
1708.219,0.109
1710.121,0.076
1716.895,0.115
1717.854,0.063
1723.985,0.605
1752.993,0.264
1815.872,0.265
1856.001,0.051
1876.028,0.043
1878.062,0.028
1882.97,0.101
1883.898,0.09
1898.088,0.032
1899.032,0.042
1913.065,0.038
1927.984,0.069
1963.967,0.032
2016.12,0.389
2030.109,0.023
2037.122,0.104
2065.088,0.026
2081.126,0.454
2084.073,0.132
2090.129,0.115
2148.071,0.085
2178.018,0.051
2190.17,0.034
2202.17,0.056
2296.239,0.042
2386.329,0.021
2427.533,0.021
2451.283,0.202
2485.158,0.061
2513.378,0.027
2618.346,0.128
2645.489,0.093
2872.439,0.022
2886.616,0.028
2888.35,0.039
2926.735,0.064
2959.857,0.028
2982.677,0.117
3032.769,0.068
3139.949,0.014
3154.109,0.017
3182.183,0.059
3237.662,0.055
3259.979,0.031
3292.924,0.027
3451.825,0.017
