m/z,Rel. Intens.
656.148,0.892
657.61,0.042
672.051,0.054
672.418,0.025
673.331,0.098
678.071,0.023
695.292,0.031
702.995,0.033
704.332,0.025
709.349,0.048
774.349,0.204
781.396,0.152
783.361,0.047
788.369,0.016
799.451,0.275
805.371,0.054
812.411,0.023
817.445,0.038
821.433,0.03
824.328,0.032
825.414,0.074
831.386,0.028
836.367,0.025
844.439,0.018
869.477,0.153
871.458,0.146
873.391,0.108
894.454,0.079
898.372,0.073
904.418,0.032
912.453,0.017
913.99,0.016
920.381,0.026
972.441,0.024
976.469,0.035
983.465,0.143
989.499,0.056
1009.513,0.056
1012.53,0.243
1031.467,0.144
1034.482,0.069
1074.464,0.023
1080.541,0.277
1102.518,0.025
1104.516,0.053
1112.616,0.037
1114.457,0.018
1152.554,0.052
1156.622,0.12
1157.588,0.151
1160.528,0.077
1167.599,0.016
1174.553,0.022
1178.617,0.111
1192.505,0.037
1194.544,0.031
1196.533,0.105
1199.598,0.227
1215.587,0.054
1218.53,0.074
1221.591,0.182
1226.494,0.208
1230.632,0.03
1235.535,0.127
1243.566,0.02
1252.625,0.041
1258.591,0.02
1260.44,0.042
1283.511,0.138
1284.702,0.115
1286.529,0.043
1301.601,0.362
1306.715,0.129
1308.531,0.034
1311.649,0.018
1323.575,0.019
1352.603,0.028
1363.607,0.031
1366.704,0.191
1380.625,0.017
1386.649,0.03
1408.654,0.021
1411.616,0.028
1439.704,0.041
1441.62,0.028
1443.691,0.026
1453.648,0.016
1488.643,0.173
1494.782,0.024
1550.66,0.021
1590.719,0.018
1612.74,0.027
1634.711,0.015
1670.723,0.019
1679.674,0.016
1716.804,1.0
1723.88,0.028
1738.771,0.07
1752.887,0.029
1858.809,0.022
1882.861,0.09
1883.854,0.051
1906.805,0.032
1912.899,0.02
1928.813,0.035
1963.876,0.02
2011.916,0.033
2016.013,0.147
2032.956,0.023
2037.011,0.024
2075.961,0.038
2080.978,0.069
2083.964,0.018
2097.932,0.021
2136.966,0.017
2146.988,0.024
2155.025,0.033
2177.981,0.031
2185.045,0.016
2202.054,0.022
2248.091,0.019
2279.073,0.048
2296.076,0.054
2318.054,0.019
2350.078,0.087
2372.047,0.157
2380.131,0.012
2407.175,0.073
2451.19,0.034
2535.259,0.021
2547.024,0.0080
2645.375,0.01
2966.417,0.0040
