m/z,Rel. Intens.
656.268,0.013
659.492,0.045
673.377,0.094
683.376,0.0080
687.388,0.012
691.41,0.0090
700.428,0.01
704.369,0.017
709.38,0.048
716.412,0.01
733.368,0.012
740.286,0.011
774.381,0.321
781.425,0.126
783.4,0.114
788.385,0.0080
799.481,0.259
802.332,0.043
805.4,0.026
812.451,0.019
813.436,0.051
817.477,0.037
824.35,0.029
825.447,0.079
831.421,0.049
836.392,0.012
847.424,0.01
869.501,0.161
871.48,0.105
873.431,0.119
878.406,0.011
894.481,0.034
896.465,0.014
898.406,0.12
906.475,0.0080
912.481,0.025
920.42,0.014
943.396,0.01
968.496,0.012
972.471,0.046
976.492,0.071
983.5,0.163
989.532,0.077
1008.546,0.111
1012.562,0.326
1018.485,0.01
1020.483,0.017
1031.496,0.201
1034.505,0.071
1038.512,0.0090
1052.504,0.017
1064.495,0.0080
1067.5,0.0080
1069.583,0.01
1074.504,0.012
1075.512,0.013
1080.576,0.67
1102.544,0.029
1104.546,0.107
1112.657,0.034
1114.507,0.017
1132.594,0.0090
1137.57,0.0090
1152.593,0.09
1156.657,0.29
1157.604,0.142
1160.568,0.058
1167.621,0.016
1174.57,0.012
1178.643,0.037
1190.519,0.018
1192.533,0.027
1194.574,0.061
1196.583,0.298
1199.638,0.534
1203.55,0.015
1215.628,0.097
1218.551,0.044
1221.617,0.049
1226.529,0.473
1230.68,0.126
1235.581,0.119
1252.602,0.054
1256.649,0.024
1258.641,0.031
1260.467,0.042
1267.687,0.013
1283.553,0.242
1284.757,0.174
1286.574,0.14
1295.628,0.0090
1301.636,0.626
1304.628,0.037
1306.694,0.016
1308.623,0.012
1311.678,0.043
1319.634,0.03
1324.636,0.02
1327.563,0.0080
1329.707,0.01
1340.589,0.015
1350.623,0.013
1352.643,0.064
1358.65,0.018
1363.639,0.033
1366.739,0.149
1372.659,0.01
1380.689,0.08
1386.694,0.145
1394.595,0.017
1400.642,0.087
1408.723,0.024
1411.651,0.043
1420.657,0.014
1433.668,0.01
1439.77,0.06
1443.732,0.048
1451.72,0.011
1453.684,0.025
1462.821,0.011
1465.634,0.013
1467.766,0.015
1485.812,0.021
1488.68,0.177
1508.739,0.019
1514.781,0.027
1522.692,0.015
1545.645,0.0090
1558.766,0.0090
1561.706,0.013
1579.81,0.015
1585.857,0.012
1590.768,0.02
1612.75,0.072
1634.772,0.022
1650.835,0.011
1657.743,0.025
1660.737,0.132
1682.705,0.0080
1697.807,0.025
1716.841,1.0
1719.19,0.073
1723.923,0.035
1738.804,0.034
1742.78,0.013
1752.914,0.019
1774.836,0.018
1805.876,0.017
1810.841,0.0070
1815.827,0.027
1858.829,0.035
1882.886,0.07
1884.858,0.028
1906.827,0.083
1927.9,0.03
1932.888,0.027
1963.925,0.011
2011.953,0.036
2016.035,0.24
2032.983,0.042
2037.044,0.034
2075.971,0.048
2080.994,0.19
2096.965,0.0070
2137.995,0.013
2146.992,0.0070
2155.031,0.035
2185.08,0.011
2192.971,0.0090
2202.067,0.033
2233.106,0.0080
2279.079,0.01
2296.077,0.023
2319.074,0.0050
2334.224,0.018
2350.094,0.229
2372.054,0.058
2380.146,0.0070
2385.214,0.014
2407.162,0.044
2427.834,0.0040
2451.166,0.03
2485.112,0.0050
2513.295,0.028
2535.257,0.01
2547.203,0.0050
2579.315,0.018
2601.26,0.0050
2618.246,0.0040
2645.342,0.0080
2966.376,0.01
