m/z,Rel. Intens.
656.143,0.736
672.053,0.037
673.326,0.031
678.078,0.014
702.967,0.021
709.324,0.036
733.32,0.023
774.334,0.154
781.395,0.053
783.358,0.055
799.436,0.151
804.481,0.019
813.381,0.031
817.431,0.019
824.319,0.019
825.406,0.08
831.372,0.015
836.345,0.015
867.005,0.017
869.451,0.05
871.439,0.048
873.383,0.032
894.447,0.017
898.358,0.036
904.403,0.02
912.447,0.014
913.965,0.012
920.391,0.024
972.423,0.015
983.44,0.075
989.485,0.101
1008.495,0.082
1012.508,0.175
1020.423,0.015
1031.447,0.093
1034.453,0.024
1074.445,0.016
1077.993,0.011
1080.522,0.291
1104.487,0.043
1112.568,0.018
1114.424,0.013
1149.498,0.018
1152.523,0.025
1156.58,0.056
1160.507,0.119
1192.469,0.03
1194.516,0.019
1196.502,0.147
1199.563,0.228
1215.563,0.044
1218.506,0.022
1221.558,0.02
1226.461,0.336
1230.599,0.043
1235.495,0.172
1252.548,0.02
1258.554,0.012
1260.405,0.022
1283.487,0.179
1286.493,0.091
1301.557,0.49
1308.53,0.015
1311.612,0.013
1323.534,0.015
1352.553,0.017
1358.557,0.019
1363.562,0.041
1366.664,0.152
1380.602,0.038
1386.601,0.079
1394.505,0.011
1400.559,0.023
1408.612,0.015
1411.568,0.035
1413.547,0.013
1433.583,0.013
1440.597,0.102
1443.648,0.018
1445.616,0.012
1453.604,0.051
1467.694,0.021
1488.59,0.456
1494.747,0.018
1510.577,0.013
1514.689,0.012
1531.59,0.015
1545.615,0.014
1590.67,0.027
1612.663,0.034
1641.722,0.014
1650.741,0.029
1657.635,0.026
1660.632,0.066
1694.657,0.013
1697.712,0.025
1708.821,0.012
1716.741,1.0
1723.818,0.076
1738.706,0.023
1742.683,0.028
1752.829,0.069
1773.765,0.027
1815.724,0.047
1858.716,0.032
1882.79,0.13
1884.761,0.033
1898.866,0.014
1906.71,0.05
1927.757,0.017
1932.798,0.029
1963.805,0.024
2011.844,0.06
2015.926,0.374
2032.875,0.04
2036.926,0.037
2072.842,0.013
2075.861,0.09
2080.886,0.138
2097.828,0.016
2136.878,0.02
2146.883,0.053
2154.931,0.114
2176.892,0.017
2184.93,0.015
2201.951,0.054
2247.946,0.019
2278.955,0.041
2295.959,0.053
2318.97,0.017
2334.073,0.015
2349.946,0.256
2371.92,0.159
2380.011,0.016
2385.063,0.012
2407.02,0.103
2429.007,0.013
2451.051,0.056
2484.967,0.017
2502.042,0.011
2513.152,0.017
2535.098,0.034
2579.147,0.0090
2601.118,0.0080
2618.115,0.016
2645.227,0.017
2888.197,0.0060
2918.233,0.0090
2959.424,0.0060
2966.219,0.015
3140.314,0.0040
3153.267,0.0050
