m/z,Rel. Intens.
656.204,0.366
659.503,0.06
672.086,0.023
673.37,0.058
703.007,0.014
709.376,0.083
733.375,0.031
758.549,0.049
760.556,0.017
774.383,0.083
780.532,0.07
781.411,0.05
782.512,0.05
783.393,0.072
784.571,0.018
799.483,0.184
804.533,0.033
805.429,0.033
806.564,0.021
808.562,0.024
810.58,0.014
812.448,0.02
817.484,0.042
821.465,0.023
824.369,0.018
825.451,0.087
830.545,0.016
831.407,0.016
836.4,0.028
869.515,0.044
871.493,0.108
873.423,0.029
894.496,0.039
898.406,0.029
904.453,0.048
912.494,0.016
920.434,0.038
927.479,0.017
972.48,0.013
976.5,0.017
983.493,0.047
989.542,0.069
1008.551,0.066
1012.561,0.095
1020.484,0.024
1031.504,0.053
1034.519,0.042
1052.522,0.014
1075.526,0.018
1080.576,0.135
1102.558,0.011
1104.55,0.014
1111.504,0.012
1112.651,0.04
1114.492,0.017
1140.653,0.048
1152.585,0.032
1156.654,0.125
1160.573,0.018
1178.652,0.084
1184.601,0.015
1192.539,0.025
1194.58,0.061
1196.565,0.089
1199.631,0.209
1215.625,0.036
1218.557,0.035
1221.619,0.099
1226.522,0.104
1230.67,0.017
1235.566,0.048
1237.586,0.012
1249.594,0.012
1252.641,0.019
1260.468,0.097
1263.615,0.014
1282.416,0.012
1283.552,0.074
1284.744,0.18
1286.556,0.053
1301.632,0.171
1303.624,0.033
1306.741,0.092
1352.633,0.011
1363.646,0.012
1366.736,0.083
1380.656,0.012
1386.678,0.017
1418.565,0.012
1439.754,0.047
1441.653,0.022
1444.706,0.012
1453.674,0.013
1465.636,0.013
1488.679,0.102
1494.826,0.016
1535.861,0.034
1545.634,0.015
1561.692,0.013
1567.711,0.026
1590.765,0.021
1612.755,0.02
1670.788,0.015
1697.806,0.014
1701.944,0.014
1716.84,1.0
1723.918,0.026
1738.817,0.089
1773.844,0.016
1858.839,0.028
1882.913,0.098
1884.877,0.041
1906.844,0.039
1928.83,0.033
1963.903,0.027
2011.982,0.057
2016.052,0.14
2032.976,0.016
2037.06,0.027
2075.997,0.038
2081.011,0.039
2097.969,0.016
2137.0,0.014
2147.024,0.032
2155.062,0.038
2178.006,0.021
2185.038,0.032
2193.016,0.011
2202.088,0.015
2248.085,0.021
2279.11,0.057
2294.114,0.029
2296.123,0.074
2318.099,0.022
2334.298,0.015
2339.187,0.011
2344.13,0.014
2350.142,0.149
2356.181,0.013
2372.103,0.174
2385.266,0.011
2394.068,0.012
2407.218,0.113
2429.166,0.01
2451.238,0.018
2485.142,0.0080
2513.337,0.015
2535.289,0.045
2548.317,0.0070
2612.24,0.0070
2645.402,0.0070
2918.451,0.0050
2966.439,0.013
2988.367,0.0060
3153.487,0.0030
