m/z,Rel. Intens.
656.172,0.373
659.463,0.069
672.069,0.02
673.349,0.029
709.352,0.112
714.415,0.023
733.342,0.031
758.519,0.055
774.357,0.22
780.514,0.057
781.423,0.115
782.539,0.046
783.365,0.036
799.456,0.379
805.392,0.048
808.538,0.032
812.429,0.022
817.45,0.048
821.44,0.055
824.326,0.026
825.419,0.129
869.474,0.092
871.461,0.138
873.388,0.045
894.454,0.053
904.42,0.035
912.457,0.022
920.408,0.027
976.462,0.051
983.469,0.228
989.508,0.082
1008.515,0.253
1012.528,0.265
1020.459,0.018
1031.476,0.165
1034.484,0.05
1052.49,0.019
1074.455,0.018
1080.537,0.264
1102.519,0.02
1104.513,0.047
1112.626,0.059
1114.462,0.027
1144.473,0.016
1152.563,0.067
1157.592,0.207
1160.523,0.045
1167.597,0.023
1174.568,0.046
1178.621,0.103
1192.509,0.047
1194.543,0.056
1196.545,0.035
1199.592,0.117
1215.584,0.067
1218.532,0.035
1221.598,0.121
1226.494,0.188
1230.626,0.026
1235.527,0.185
1237.574,0.023
1252.629,0.048
1257.595,0.026
1260.446,0.063
1283.513,0.152
1284.716,0.128
1286.532,0.029
1301.605,0.667
1306.728,0.205
1323.593,0.039
1324.563,0.022
1352.605,0.039
1363.612,0.035
1366.7,0.14
1386.655,0.023
1402.644,0.026
1408.651,0.032
1411.611,0.031
1422.612,0.017
1440.656,0.051
1443.707,0.031
1453.653,0.042
1467.715,0.02
1488.647,0.109
1494.804,0.038
1590.743,0.022
1679.694,0.016
1716.822,1.0
1720.303,0.036
1723.902,0.098
1738.805,0.103
1752.893,0.018
1773.831,0.017
1815.811,0.022
1858.824,0.021
1882.878,0.124
1884.841,0.031
1906.815,0.027
1928.819,0.037
2011.947,0.069
2016.034,0.219
2032.976,0.04
2038.03,0.045
2075.948,0.015
2080.989,0.091
2147.004,0.063
2155.05,0.044
2178.016,0.015
2185.031,0.04
2202.066,0.014
2248.094,0.025
2279.111,0.044
2294.105,0.03
2296.108,0.09
2318.071,0.022
2350.089,0.061
2372.07,0.183
2407.186,0.099
2451.205,0.034
2513.297,0.0090
2535.27,0.04
2601.303,0.0090
2645.386,0.012
2918.445,0.013
2940.392,0.0090
2966.438,0.0090
2988.392,0.0080
3154.526,0.0030
3175.494,0.0040
